Year,Population,A,B,C
1961,449661874.00,187176691.00,258215626.00,14249848
1962,458691457,192519783,261780040,14777367
1963,468054145,197983197,265564648,15277763
1964,477729958,203051190,270083407,15713538
1965,487690114,207482203,275572728,16068393
1966,497920270,212274844,280760584,16596072
1967,508402908,216312897,287028742,17058937
1968,519162069,219862302,294166713,17484809
1969,530274729,223383971,301792748,17907617
1970,541844848,227147671,309695678,18346443
1971,553943226,231635539,317192724,19039755
1972,566605402,236214691,325133903,19738662
1973,579800632,240844887,333502316,20422931
1974,593451889,245375871,342356949,21069780
1975,607446519,249728336,351704530,21670031
1976,621703641,254937708,360243311,22449068
1977,636182810,259824353,369398319,23186104
1978,650907559,264544438,379066475,23888893
1979,665936435,269331989,389096604,24566761
1980,681358553,274325593,399399535,25227716
1981,697229745,280243739,409064683,26076571
1982,713561406,286325514,419033632,26880358
1983,730303461,292449087,429338485,27641386
1984,747374856,298375131,440089863,28368416
1985,764664278,303956109,451331895,29072004
1986,782085127,310441835,461564901,29968508
1987,799607235,316268767,472583715,30829620
1988,817232241,321598338,484214094,31656498
1989,834944397,326660933,496222515,32451230
1990,852736160,331545788,508508810,33223200
1991,870601776,336594426,520272166,34406617
1992,888513869,341378976,532374432,35553608
1993,906461358,345826026,544905880,36671954
1994,924475633,349805827,558019744,37776260
1995,942604211,353275739,571765886,38880963
1996,960874982,356859179,585146577,40359487
1997,979290432,359978014,599111036,41810980
1998,997817250,362650372,613586394,43246815
1999,1016402907,364939728,628437451,44680977
2000,1034976626,366904765,643545591,46125193
2001,1053481072,369374967,657781664,47843454
2002,1071888190,371381359,672383344,49552486
2003,1090189358,373029802,687264150,51229192
2004,1108369577,374453954,702330924,52838578
2005,1126419321,375719594,717517456,54372877
2006,1144326293,377329653,732023639,56132999
2007,1162088305,378748574,746636062,57824836
2008,1179685631,379864849,761335667,59469249
2009,1197070109,380433169,776202641,61090405
2010,1214182182,380285235,791275571,62720364
2011,1230984504,380043299,805553576,64691854
2012,1247446011,378833499,820297112,66652179
2013,1263589639,376921353,835220408,68704368
2014,1279498874,374759010,849864260,70980914
2015,1295291543,372623069,863969050,73560284
2016,1311050527,369967745,877808961,76732882
,,,,
